Pile ID	Distribution Type	X-Position	Y-Position	Collection Time	Ant ID
0	0	-0.804142	2.55612	-1	-1
0	0	-8.35426	-3.89124	-1	-1
0	0	-9.27862	-8.87804	2864	19
0	0	-2.53898	8.02604	30520	11
0	0	9.33038	-0.214582	-1	-1
0	0	4.26037	5.65859	-1	-1
0	0	-2.90086	-5.29041	2280	14
0	0	-6.19165	-1.62211	36880	1
0	0	-4.3765	-7.54343	12376	15
0	0	5.01086	-0.638547	-1	-1
0	0	-1.42189	7.75198	55296	1
0	0	6.85242	-3.08348	9720	17
0	0	-3.95717	1.57818	18104	8
0	0	-6.34965	7.1853	-1	-1
0	0	0.456285	-3.91323	-1	-1
0	0	-7.64982	-5.29973	50200	10
0	0	9.05643	2.61078	44992	8
0	0	-7.38947	-4.2743	7664	15
0	0	1.94291	-1.45379	-1	-1
0	0	0.161018	-3.79886	-1	-1
0	0	0.128577	8.68476	23336	11
0	0	-8.79421	-6.63248	47720	17
0	0	-5.40769	7.44765	-1	-1
0	0	5.33054	6.57598	-1	-1
0	0	3.96889	-6.64333	47408	5
0	0	1.06784	2.9966	48072	5
0	0	-5.68278	-4.85219	-1	-1
0	0	-4.66189	-1.59023	16416	11
0	0	5.31364	5.39466	-1	-1
0	0	6.07723	-9.25729	24224	15
0	0	-3.59892	5.009	-1	-1
0	0	5.64145	-2.50096	-1	-1
0	0	6.55293	-7.95166	14928	0
0	0	8.88581	3.73315	39000	18
0	0	3.59068	7.96502	-1	-1
0	0	-1.01213	-6.1915	2360	13
0	0	1.1858	-6.89338	3728	0
0	0	-5.0269	-8.37521	-1	-1
0	0	8.68886	-3.61779	-1	-1
0	0	-6.20608	2.59894	-1	-1
0	0	6.75549	-2.84199	35208	9
0	0	1.52578	3.63339	51360	13
0	0	5.75828	-3.44016	-1	-1
0	0	8.68801	9.06779	-1	-1
0	0	4.75834	-5.93625	51376	7
0	0	-5.93499	-3.21326	41760	10
0	0	3.27435	-2.8344	-1	-1
0	0	-3.2323	3.7268	-1	-1
